stationName,dataTime,pm10Value,pm25Value,sidoName
동문동,2026-04-21 16:00,132,14,충남
대산리,2026-04-21 16:00,112,11,충남
성연면,2026-04-21 16:00,118,13,충남
송산면,2026-04-21 16:00,138,28,충남
당진시청사,2026-04-21 16:00,91,19,충남
합덕읍,2026-04-21 16:00,96,19,충남
복운리,2026-04-21 16:00,100,20,충남
모종동,2026-04-21 16:00,95,25,충남
배방읍,2026-04-21 16:00,113,19,충남
도고면,2026-04-21 16:00,99,11,충남
