stationName,dataTime,pm10Value,pm25Value,sidoName
송파구,2026-04-21 16:00,90,16,서울
강동구,2026-04-21 16:00,83,12,서울
천호대로,2026-04-21 16:00,80,11,서울
금천구,2026-04-21 16:00,92,17,서울
시흥대로,2026-04-21 16:00,85,12,서울
강북구,2026-04-21 16:00,85,20,서울
양천구,2026-04-21 16:00,-,-,서울
노원구,2026-04-21 16:00,81,17,서울
화랑로,2026-04-21 16:00,91,17,서울
신풍동,2026-04-21 16:00,105,12,경기
인계동,2026-04-21 16:00,86,12,경기
광교동,2026-04-21 16:00,81,15,경기
영통동,2026-04-21 16:00,79,13,경기
천천동,2026-04-21 16:00,97,14,경기
경수대로(동수원),2026-04-21 16:00,107,10,경기
고색동,2026-04-21 16:00,96,10,경기
호매실,2026-04-21 16:00,79,11,경기
대왕판교로(백현동),2026-04-21 16:00,78,14,경기
단대동,2026-04-21 16:00,80,15,경기
정자동,2026-04-21 16:00,76,11,경기
수내동,2026-04-21 16:00,73,16,경기
성남대로(모란역),2026-04-21 16:00,74,14,경기
복정동,2026-04-21 16:00,81,7,경기
운중동,2026-04-21 16:00,87,14,경기
상대원동,2026-04-21 16:00,101,17,경기
의정부동,2026-04-21 16:00,84,18,경기
의정부1동,2026-04-21 16:00,94,18,경기
송산3동,2026-04-21 16:00,100,19,경기
안양8동,2026-04-21 16:00,83,14,경기
부림동,2026-04-21 16:00,85,21,경기
호계3동,2026-04-21 16:00,87,26,경기
안양2동,2026-04-21 16:00,98,14,경기
철산동,2026-04-21 16:00,102,15,경기
소하동,2026-04-21 16:00,120,14,경기
고잔동,2026-04-21 16:00,105,13,경기
초지동,2026-04-21 16:00,75,16,경기
본오동,2026-04-21 16:00,114,16,경기
원곡동,2026-04-21 16:00,114,20,경기
부곡동1,2026-04-21 16:00,75,18,경기
대부동,2026-04-21 16:00,-,-,경기
호수동,2026-04-21 16:00,94,17,경기
중앙대로(고잔동),2026-04-21 16:00,85,8,경기
별양동,2026-04-21 16:00,84,13,경기
과천동,2026-04-21 16:00,98,13,경기
교문동,2026-04-21 16:00,75,12,경기
동구동,2026-04-21 16:00,90,15,경기
부곡3동,2026-04-21 16:00,98,13,경기
고천동,2026-04-21 16:00,79,12,경기
정왕동,2026-04-21 16:00,112,17,경기
시화산단,2026-04-21 16:00,128,16,경기
대야동,2026-04-21 16:00,97,26,경기
목감동,2026-04-21 16:00,90,22,경기
장현동,2026-04-21 16:00,104,18,경기
서해안로,2026-04-21 16:00,113,19,경기
배곧동,2026-04-21 16:00,109,21,경기
금곡동,2026-04-21 16:00,74,12,경기
오남읍,2026-04-21 16:00,109,14,경기
별내동,2026-04-21 16:00,99,17,경기
화도읍,2026-04-21 16:00,107,26,경기
경춘로,2026-04-21 16:00,101,22,경기
와부읍,2026-04-21 16:00,76,13,경기
진접읍,2026-04-21 16:00,93,18,경기
비전동,2026-04-21 16:00,90,20,경기
안중,2026-04-21 16:00,95,27,경기
평택항,2026-04-21 16:00,113,30,경기
송북동,2026-04-21 16:00,85,14,경기
청북읍,2026-04-21 16:00,93,19,경기
고덕동,2026-04-21 16:00,79,14,경기
금촌동,2026-04-21 16:00,-,21,경기
운정,2026-04-21 16:00,99,17,경기
파주,2026-04-21 16:00,97,17,경기
파주읍,2026-04-21 16:00,92,12,경기
행신동,2026-04-21 16:00,-,-,경기
식사동,2026-04-21 16:00,95,15,경기
백마로(마두역),2026-04-21 16:00,105,25,경기
신원동,2026-04-21 16:00,90,22,경기
주엽동,2026-04-21 16:00,90,24,경기
경안동,2026-04-21 16:00,128,16,경기
오포1동,2026-04-21 16:00,87,16,경기
곤지암,2026-04-21 16:00,102,15,경기
김량장동,2026-04-21 16:00,89,14,경기
수지,2026-04-21 16:00,96,17,경기
기흥,2026-04-21 16:00,97,14,경기
중부대로(구갈동),2026-04-21 16:00,78,12,경기
모현읍,2026-04-21 16:00,107,16,경기
이동읍,2026-04-21 16:00,106,18,경기
백암면,2026-04-21 16:00,104,16,경기
설성면,2026-04-21 16:00,104,24,경기
창전동,2026-04-21 16:00,111,20,경기
장호원읍,2026-04-21 16:00,117,16,경기
부발읍,2026-04-21 16:00,97,15,경기
관인면,2026-04-21 16:00,99,19,경기
선단동,2026-04-21 16:00,86,13,경기
일동면,2026-04-21 16:00,-,-,경기
사우동,2026-04-21 16:00,111,23,경기
고촌읍,2026-04-21 16:00,121,24,경기
월곶면,2026-04-21 16:00,95,11,경기
한강신도시,2026-04-21 16:00,113,25,경기
한강로,2026-04-21 16:00,114,23,경기
당동,2026-04-21 16:00,91,13,경기
산본동,2026-04-21 16:00,93,14,경기
오산동,2026-04-21 16:00,78,17,경기
금암로(신장동),2026-04-21 16:00,82,14,경기
신장동,2026-04-21 16:00,79,13,경기
미사,2026-04-21 16:00,81,13,경기
감일,2026-04-21 16:00,79,16,경기
남양읍,2026-04-21 16:00,106,15,경기
향남읍,2026-04-21 16:00,111,16,경기
동탄,2026-04-21 16:00,-,-,경기
우정읍,2026-04-21 16:00,91,15,경기
청계동,2026-04-21 16:00,70,17,경기
새솔동,2026-04-21 16:00,101,11,경기
봉담읍,2026-04-21 16:00,105,18,경기
서신면,2026-04-21 16:00,108,11,경기
백석읍,2026-04-21 16:00,84,19,경기
고읍,2026-04-21 16:00,105,12,경기
보산동,2026-04-21 16:00,103,21,경기
봉산동,2026-04-21 16:00,107,15,경기
공도읍,2026-04-21 16:00,107,21,경기
죽산면,2026-04-21 16:00,121,28,경기
중앙동(경기),2026-04-21 16:00,114,25,경기
대신면,2026-04-21 16:00,104,26,경기
가남읍,2026-04-21 16:00,104,20,경기
연천,2026-04-21 16:00,92,18,경기
전곡,2026-04-21 16:00,116,16,경기
가평,2026-04-21 16:00,91,13,경기
설악면,2026-04-21 16:00,106,22,경기
용문면,2026-04-21 16:00,112,26,경기
양평읍,2026-04-21 16:00,73,14,경기
연천(DMZ),2026-04-21 16:00,106,24,경기
중앙로,2026-04-21 16:00,112,14,강원
퇴계동,2026-04-21 16:00,98,-,강원
신사우동,2026-04-21 16:00,110,20,강원
온의동,2026-04-21 16:00,107,23,강원
방산면,2026-04-21 16:00,128,48,강원
양구읍,2026-04-21 16:00,92,17,강원
동해항,2026-04-21 16:00,101,21,강원
묵호항,2026-04-21 16:00,96,23,강원
호산항,2026-04-21 16:00,55,12,강원
삼척항,2026-04-21 16:00,89,25,강원
옥계항,2026-04-21 16:00,120,29,강원
철원(DMZ),2026-04-21 16:00,117,28,강원
화천(DMZ),2026-04-21 16:00,120,25,강원
인제(DMZ),2026-04-21 16:00,134,27,강원
고성(DMZ),2026-04-21 16:00,132,21,강원
광복동,2026-04-21 16:00,119,21,부산
초량동,2026-04-21 16:00,118,18,부산
태종대,2026-04-21 16:00,105,17,부산
청학동,2026-04-21 16:00,128,11,부산
전포동,2026-04-21 16:00,135,38,부산
온천동,2026-04-21 16:00,144,34,부산
명장동,2026-04-21 16:00,116,22,부산
대연동,2026-04-21 16:00,117,26,부산
용호동,2026-04-21 16:00,124,21,부산
학장동,2026-04-21 16:00,151,32,부산
덕천동,2026-04-21 16:00,130,16,부산
화명동,2026-04-21 16:00,147,20,부산
삼락동,2026-04-21 16:00,108,21,부산
우동,2026-04-21 16:00,116,19,부산
감천동,2026-04-21 16:00,101,15,부산
청룡동,2026-04-21 16:00,131,23,부산
좌동,2026-04-21 16:00,123,17,부산
재송동,2026-04-21 16:00,121,20,부산
장림동,2026-04-21 16:00,121,21,부산
대저동,2026-04-21 16:00,103,17,부산
녹산동,2026-04-21 16:00,109,20,부산
명지동,2026-04-21 16:00,127,17,부산
연산동,2026-04-21 16:00,111,18,부산
기장읍,2026-04-21 16:00,141,20,부산
용수리,2026-04-21 16:00,125,17,부산
수정동,2026-04-21 16:00,84,31,부산
회동동,2026-04-21 16:00,127,18,부산
광안동,2026-04-21 16:00,104,19,부산
대신동,2026-04-21 16:00,144,21,부산
덕포동,2026-04-21 16:00,125,22,부산
개금동,2026-04-21 16:00,115,29,부산
당리동,2026-04-21 16:00,131,23,부산
부산항,2026-04-21 13:00,122,25,부산
부산신항,,,,부산
부산북항,2026-04-21 16:00,131,17,부산
부산감만,2026-04-21 16:00,117,22,부산
회원동,2026-04-21 16:00,123,17,경남
봉암동,2026-04-21 16:00,121,19,경남
내서읍,2026-04-21 16:00,121,18,경남
대송동,2026-04-21 16:00,113,13,울산
성남동,2026-04-21 16:00,156,23,울산
부곡동(울산),2026-04-21 16:00,169,30,울산
여천동(울산),2026-04-21 16:00,166,22,울산
선암동,2026-04-21 16:00,141,18,울산
삼산동,2026-04-21 16:00,150,27,울산
신정로,2026-04-21 16:00,111,19,울산
둔포면,2026-04-21 16:00,113,18,충남
인주면,2026-04-21 16:00,103,21,충남
장재리,2026-04-21 16:00,88,20,충남
송악면,2026-04-21 16:00,104,13,충남
논산,2026-04-21 16:00,133,7,충남
연무읍,2026-04-21 16:00,109,15,충남
성동면,2026-04-21 16:00,93,12,충남
파도리,2026-04-21 16:00,119,17,충남
이원면,2026-04-21 16:00,132,11,충남
태안읍,2026-04-21 16:00,140,16,충남
격렬비열도,2026-04-21 16:00,-,26,충남
원북면,2026-04-21 16:00,116,17,충남
예산군,2026-04-21 16:00,117,16,충남
삽교읍,2026-04-21 16:00,97,14,충남
고덕면(충남),2026-04-21 16:00,83,20,충남
대천2동,2026-04-21 16:00,136,22,충남
주교면,2026-04-21 16:00,118,10,충남
외연도,2026-04-21 16:00,123,23,충남
홍성읍,2026-04-21 16:00,96,17,충남
삼진로,2026-04-21 16:00,119,11,경남
경화동,2026-04-21 16:00,134,18,경남
월영동,2026-04-21 16:00,112,13,경남
하동읍,2026-04-21 16:00,121,29,경남
금성면,2026-04-21 16:00,95,13,경남
동상동,2026-04-21 16:00,137,20,경남
삼방동,2026-04-21 16:00,125,17,경남
장유동,2026-04-21 16:00,101,16,경남
진영읍,2026-04-21 16:00,92,13,경남
김해대로,2026-04-21 16:00,113,20,경남
진례면,2026-04-21 16:00,113,29,경남
저구리,2026-04-21 16:00,107,15,경남
아주동,2026-04-21 16:00,91,15,경남
고현동,2026-04-21 16:00,163,35,경남
사천읍,2026-04-21 16:00,127,13,경남
향촌동,2026-04-21 16:00,99,12,경남
대산면,2026-04-21 16:00,100,19,경남
옥포항,2026-04-21 16:00,123,24,경남
북부동,2026-04-21 16:00,115,20,경남
삼호동,2026-04-21 16:00,128,14,경남
물금읍,2026-04-21 16:00,97,19,경남
